paper_id,title,comment,abstract,image,category
1,VR百人一首かるたにおける札取り動作の数理モデル解析とそのゲームスキル調整への応用,"VR環境での百人一首を題材に，プレイヤー間の難易度を平滑化することを目指し，個々のプレイヤーに与えられている視覚情報（手の大きさ，札の大きさ）を変動させることによってゲームの難易度を調整する手法を提案し，その効果を実証的に検証しています．
当該手法による難易度の変化を丁寧に評価し，かつユーザが不満や不適切に思わない範囲でも十分な難易度調整が可能であることを示しており，有用性の極めて高い知見を提供していることを踏まえると，採択にふさわしい論文であると思います．",本論文ではVR百人一首かるたにおける新しいゲームスキル調整方法を検討する．実験データの解析の結果，手で札を取る動作は，Fittsの法則のモデルに高い適合度を示した．またプレイヤが適切だと感じられるパラメータ変更の条件を得た．この範囲で手の大きさや札の大きさ及び札までの距離を変更することは，試合に十分影響を与える調整量となり，札を取る所要時間を制御し対戦者間の実力差を縮める手法として活用できる可能性が示唆された．,TRUE,S
2,VRリダイレクションを用いたゴルフスイングトレーニングシステム,本研究では、VRリダイレクション技術を活用したゴルフスイング矯正システムを提案しています。VR内の仮想のゴルフボールが打者のスイングに応じて前方へ移動し、打者はこれに合わせてスイングを調整します。結果として頭の上へと振り上げるover-the-topスイングが改善し、クラブが正確にボールに当たるように矯正されていきます。このアプローチはユーザ実験で有用性が確認され、論文中では現システムの課題と展望も示されていました。論文の記述に改善の余地はありますが、採録（ショート）で問題ないと判定しました。,Coming Soon,FALSE,S
3,拡張現実を用いた姿勢可視化によるスキートレーニングシステム,本稿は，拡張現実を用いたスキートレーニングにおける姿勢を可視化する手法とその効果についての論文です．手法に強烈な目新しさはありませんが，スキーという対象に合わせて効果を有することが期待される表現をシンプルにまとめ，納得度合いの高い評価を重ねて知見を得ていることから，採択に足る論文であると判断しました．,"本論文では, シースルー型HMDを用いたARスキートレーニングシステムを提案する. 提案システムでは, 滑走姿勢を改善するための3種類の視覚的フィードバックをリアルタイムに提示する. 評価実験によれば, ユーザの背骨を可視化する手法は従来手法よりも約7％姿勢が改善され, 最も高いパフォーマンスが得られることが示された. 最後に, 実際のスロープ上でのパイロットテストにより, 実環境においても提案システムが適用できることを確認した.",TRUE,L
4,Smart Replay:Eラーニング動画における視覚的・時間的アクセシビリティ,ラーニングのようなビデオコンテンツによる学習時の資料とチャプターの概要、自らのペースに合わせてビデオの再生をコントロールできる等の機能が搭載されたシステムを提案しており、システムの技術的な内容は一定の評価ができます。事前調査によってシステムの要件の洗い出しをしていることも好感を持てます。一方で、提出された論文については出版前に十分な推敲が必要であると判断し、ショート採録（採録条件あり）と判定します。,Coming Soon,FALSE,S
5,プログラミング初学者の課題解決方針の立案能力を高める選択肢タップ式学習支援システム,具体的なプログラミング言語でのコーディングより前に、自然言語で解決方針・手順を立案することが重要であり、少ない選択肢から選び、誤りに気づいたらすぐ手戻りするという試行錯誤を行う、というアイデアは興味深く、新規性も認められます。しかしながら、試行錯誤の高速化がどのように達成されているのか、学習者がどのような気づきを得て選択肢を修正するのかが不明瞭なことと、最初に自然言語で検討することをかえって難しく感じてしまう初学者もいるのではないかといったことが査読者間および判定会議で議論となりました。結果として、本論文は議論枠での採録となりました。発表に当たっては、学習者がどのように選択肢を操作し、どのような表示を見て誤りに気づいて修正するのか、具体的な操作が分かるようにご留意ください。,Coming Soon,FALSE,S
6,AR ハンドとEMSによる手指の同期を用いた遠隔でのピアノ演奏指導,ピアノ学習者に対する遠隔指導手法として一定の新規性がある点，提案手法や実装を中心に論文の記述が明瞭である点が評価されました．一方，「EMSの性能や設計意図の記述不足」「タイミング制御手法の記述不足」「一部参考文献の不足」等が指摘されたため，ショート採録（条件付き）と判定します．,Coming Soon,FALSE,S
7,EmoCast: 顔への表情変化情報投影による話し相手の印象向上システム,頭部に装着したウェアラブルデバイスにより表情の画像認識し、プロジェクションを行うことで表情の改変を行う技術について提案、検討したものである。有用性の評価手法に不明瞭な点があるものの、提案の新規性は認められる。その「荒削り」さにより、「根本的な課題解決になっているのか」、「装備や技術の進歩によって将来的には表現力が高まり不自然さが軽減されるのか」等、活発な議論が想定される。以上の結果から、議論枠採録と判断された。,Coming Soon,FALSE,S
8,Taste Time Machine : 飲食物を過去や未来の味に変える装置の実現に向けて,著者らの味ディスプレイの応用として，食品の時間を制御した味にする(熟成させる，味を若く戻す)といった目的に対しての手法提案と実験を行っています．論文の記述や読みやすさには少し難がありますが，味の時間変化を制御するという事実自体が明らかに面白いため，査読者も全員ポジティブな評価をしていました．一方で，これによってどのように世界が変わるのか，どのようなインタラクティブシステムに応用可能なのか，という点を是非深掘りして議論していただきたいというのがレビュアの求めるところです．,Coming Soon,FALSE,S
9,シャボン膜凍結式全周囲スクリーンの提案,Ephemeralインタラクションのデバイス研究として十分な新規性を有すると思われます。凍結シャボン膜ならではのインタラクション提案としての触れることによって開口が可能である点などを挙げられております。このあたりはもうすこし議論したいと思いました。,近年シャボン膜をプロジェクタのスクリーンとして用いる研究が行われている．本研究では，新たにシャボン膜を凍結させ不透明度を高めることでのスクリーン化を試みた．この手法は凍結過程において膜上に氷の欠片が発生し対流する現象が起こる点とシャボン膜を膨らませることでドーム形状のような超広角プロジェクションを用いた全周囲映像投影に適した形状に変形させることが可能な点の2点の特徴をもつ．本稿ではシャボン膜を生成，凍結させることが可能なプロトタイプの実装やその性能評価，今後の展望について述べた．,FALSE,S
10,導電性・強磁性・及び土台の可撓性を持つ毛構造の造形手法の提案,本研究では、熱溶解積層方式により毛構造を3Dプリントする先行研究を発展させ、通常のPLAとは異なる機能性を持つフィラメントによる毛の造形、従来とは異なる柔軟な土台への定着方法の提案、毛構造の形状による触感の違いのユーザ評価が行われました。議論されている内容は、複数の先行事例と区別され新規性があります。一方で、現段階では様々な特性が実現できることが示されたという状態です。そのような特性がインタラクションまたは他の文脈でどれほど有用であるかはこれから明らかにされていくものと感じます。,Coming Soon,FALSE,S
