name,kana,affiliation1,affiliation2,affiliation3,keyword1,keyword2,keyword3,link,image
秋山 耀,あきやま,チームラボ,,,デジタルテクノロジーを使用したアート,,,https://www.team-lab.com/,akiyama
五十嵐 悠紀,いがらし,お茶の水女子大学,,,コンピュータグラフィックス,ヒューマンコンピュータインタラクション（HCI）,ファブリケーション,https://www.is.ocha.ac.jp/~yuki/index-j.html,igarashi
石井 綾郁,いしい,NTTコミュニケーション科学基礎研究所,,,ユビキタスコンピューティング,実体インタフェース,日用品インタフェース,https://sites.google.com/view/ishii/profile,ishii
越後 宏紀,えちご,ソフトバンク株式会社,,,ICT教育,ヒューマンコンピュータインタラクション（HCI）,コミュニケーション支援,https://www.hiroetty.com/,echigo
大西 鮎美,おおにし,神戸大学,,,ウェアラブルコンピューティング,ユビキタスコンピューティング,行動認識,http://cse.eedept.kobe-u.ac.jp/ohnishi/,ohnishi
奥本 隼,おくもと,TwoGate,,,技術経営,アプリ開発,ソフトウェア工学,https://twogate.com,okumoto
門本 淳一郎,かどもと,東京大学,,,タンジブルユーザインタフェース,ユビキタスコンピューティング,,,kadomoto
栗原 一貴,くりはら,津田塾大学,,,ヒューマンコンピュータインタラクション（HCI）,エンタテインメントコンピューティング,,https://www.unryu.org/,kurihara
小池 英樹,こいけ,東京工業大学,,,Vision-based HCI,Projector-Camera Systems,Augmented Human,https://www.vogue.cs.titech.ac.jp/koike,koike
後藤 真孝,ごとう,産総研,,,音楽情報処理,歌声情報処理,メディアインタラクション,https://staff.aist.go.jp/m.goto/index-j.html,goto
坂本 大介,さかもと,北海道大学,,,ユーザインタフェース設計と評価,ユーザビリティ,ユーザ体験（UX）,https://daisukesakamoto.jp/,sakamoto
佐藤 俊樹,さとう,JAIST,,,プロジェクタカメラシステム,AR,タンジブル五感提示,,
志築 文太郎,しづき,筑波大学,,,入力インタフェース（文字入力）,入力デバイス,センシング手法,https://www.iplab.cs.tsukuba.ac.jp/~shizuki/index-j.html,shizuki
清木 昌,せいき,ほぼ日,,,エンタテインメントコンピューティング,xR,リアルタイム通信,https://1101.com/science_magic/,seiki
高田 崚介,たかだ,神戸市立工業高等専門学校,,,入力インタフェース（特に文字入力・データグローブ・センサ応用）,導電繊維センシング,,https://rtakada.jp/,takada
高橋 治輝,たかはし,立命館大学,,,ヒューマンコンピュータインタラクション（HCI）,デジタルファブリケーション,,https://haruki.xyz/,takahashi
高橋 亮,たかはし,東大,,,ウェアラブルコンピューティング,IoT,無線センシング・通信・給電,https://www.ryotakahashi.me/,takahashi_ryo
塚田 浩二,つかだ,はこだて未来大学,,,日用品インタフェース,マテリアルインタラクション,プロトタイピング,http://tsuka-lab.org,tsuka
辻田 眸,つじた,,,,ヒューマンコンピュータインタラクション（HCI）,遠隔コミュニケーション支援,,,tsujita
寺田 努,てらだ,神戸大学,,,ウェアラブルコンピューティング,エンタテインメントコンピューティング,情報提示,https://tt-lab.jp/terada/,terada
鳴海 紘也,なるみ,慶應大,,,コンピュテーショナル・ファブリケーション,,,https://narumi.me/,narumi
西田 健志,にしだ,神戸大,,,コミュニケーション支援,デジタルウェルビーイング,,,nishida
福里 司,ふくさと,早稲田大学,,,コンピュータグラフィックス,ユーザインタフェース,,https://sites.google.com/view/tsukasafukusato/about-me-j,fukusato
藤田 和之,ふじた,東北大学,,,空間ユーザインタフェース,バーチャルリアリティ,知覚情報処理,https://kazuyukifujita.github.io/,fujita
松村 耕平,まつむら,立命館大学,,,身体性認知科学,プレイフルネス,,,matsumura
丸山 一貴,まるやま,明星大学,,,プログラミング環境,Webユーザインタフェース,大学ICTサービス,https://www.iag.meisei-u.ac.jp/meuhp/KgApp?resId=S000550,maruyama
三浦 元喜,みうら,千葉工大,,,,,,,
三上 浩司,みかみ,東京工科大学,,,ゲームデザイン,ゲーム開発,バーチャルリアリティ,,
宮藤 詩緒,みやふじ,東京工業大学,,,ヒューマンコンピュータインタラクション（HCI）,プロジェクションマッピング,遠隔協調作業,http://shioshio.space/,miyafuji
山本 和彦,やまもと,YAMAHA,,,機械学習,ヒューマンコンピュータインタラクション（HCI）,音楽情報処理,http://www.yamo-n.org/,yamamoto
吉田 博則,よしだ,はこだて未来大,,,計算木工,計算転用,建築デザイン,,yoshida
米田 英正,よねだ,Helpfeel,,,,,,,
渡邊 恵太,わたなべ,明治大学,,,インタラクションデザイン,デジタルファブリケーション,ブレインコンピュータインタラクション,https://keitawatanabe.jp/,watanabe
渡邉 拓貴,わたなべ,はこだて未来大,,,ウェアラブル・ユビキタスコンピューティング,人間行動認識,音響センシング,https://www.hwatanabe.com/,watanabe_h
