name,kana,affiliation1,affiliation2,affiliation3,keyword1,keyword2,keyword3,link,image
秋山 耀,あきやま,チームラボ,,,,,,,
五十嵐 悠紀,いがらし,お茶の水女子大学,,,コンピュータグラフィックス,ファブリケーション,,https://www.is.ocha.ac.jp/~yuki/index-j.html,igarashi
池松 香,いけまつ,ヤフー株式会社,東北大学,,ヒューマンコンピュータインタラクション（HCI）,タンジブルユーザインタフェース（TUI）,,https://sites.google.com/view/ikema2,ikematsu
石井 綾郁,いしい,NTTコミュニケーション科学基礎研究所,,,ヒューマンコンピュータインタラクション（HCI）,ユビキタスコンピューティング,,https://sites.google.com/view/ishii/profile,ishii
越後 宏紀,えちご,ソフトバンク株式会社,,,ICT教育,ヒューマンコンピュータインタラクション（HCI）,コミュニケーション支援,https://www.hiroetty.com/,echigo
大西 鮎美,おおにし,神戸大学,,,,,,http://cse.eedept.kobe-u.ac.jp/ohnishi/,ohnishi
奥本 隼,おくもと,TwoGate,,,,,,,okumoto
梶本 裕之,かじもと,電気通信大学,,,ハプティクス,バーチャルリアリティ,,https://kaji-lab.jp/ja/index.php?people/kaji,kajimoto
加藤 邦拓,かとう,東京工科大学,,,ヒューマンコンピュータインタラクション（HCI）,ファブリケーション,,https://kkunihir.com,kato
門本 淳一郎,かどもと,東京大学,,,,,,,
倉本 到,くらもと,福知山公立大学,,,エンタテインメントコンピューティング,HAI/HRI,HCI,https://itarukuramoto.wordpress.com,kuramoto
栗原 一貴,くりはら,津田塾大学,クーリード株式会社,,ヒューマンコンピュータインタラクション（HCI）,エンタテインメントコンピューティング,,https://www.unryu.org/,kurihara
小池 英樹,こいけ,東京工業大学,,,,,,https://www.vogue.cs.titech.ac.jp/koike,koike
坂本 大介,さかもと,北海道大学,,,,,,https://daisukesakamoto.jp/,sakamoto
志築 文太郎,しづき,筑波大学,,,ヒューマンコンピュータインタラクション（HCI）,入力インタフェース,,https://www.iplab.cs.tsukuba.ac.jp/~shizuki/index-j.html,shizuki
清木 昌,せいき,,,,,,,,
高田 崚介,たかだ,神戸市立工業高等専門学校,,,,,,https://rtakada.jp/,takada
高橋 治輝,たかはし,立命館大学,,,,,,https://haruki.xyz/,
塚田 浩二,つかだ,はこだて未来大学,,,,,,https://mobiquitous.com/,tsuka
土田 修平,つちだ,お茶の水女子大,,,ダンス情報処理,エンタテインメントコンピューティング,,https://shuhei2306.com/index-j.html,tsuchida
寺田 努,てらだ,神戸大学,,,ウェアラブルコンピューティング,エンタテインメントコンピューティング,情報提示,https://tt-lab.jp/terada/,terada
中野 倫靖,なかの,産業技術総合研究所,,,歌声情報処理,,,https://staff.aist.go.jp/t.nakano/index-j.html,nakano
鳴海 紘也,なるみ,東京大学,,,形状変化インタフェース,ソフトロボティクス,デジタルファブリケーション,https://narumi.me/,narumi
福里 司,ふくさと,早稲田大学,,,コンピュータグラフィックス,ユーザインタフェース,,https://sites.google.com/view/tsukasafukusato/about-me-j,
藤田 和之,ふじた,東北大学,,,,,,https://kazuyukifujita.github.io/,fujita
松村 耕平,まつむら,立命館大学,,,ヒューマンコンピュータインタラクション（HCI）,身体性認知科学,知識メディア,,matsumura
丸山 一貴,まるやま,明星大学,,,プログラミング環境,Webユーザインタフェース,大学ICTサービス,https://www.iag.meisei-u.ac.jp/meuhp/KgApp?resId=S000550,maruyama
三上 浩司,みかみ,東京工科大学,,,,,,,
宮藤 詩緒,みやふじ,東京工業大学,,,ヒューマンコンピュータインタラクション（HCI）,プロジェクションマッピング,遠隔協調作業,http://shioshio.space/,miyafuji
山本 和彦,やまもと,YAMAHA,,,機械学習,ヒューマンコンピュータインタラクション（HCI）,音楽情報処理,http://www.yamo-n.org/,yamamoto
横窪 安奈,よこくぼ,青山学院大学,,,,,,https://www.ankorobe.com/,yokokubo
米田 英正,よねだ,,,,,,,,
渡邊 恵太,わたなべ,明治大学,,,,,,https://keitawatanabe.jp/,watanabe
渡邉 拓貴,わたなべ,北海道大学,,,,,,https://iis-lab.ist.hokudai.ac.jp/~hiroki.watanabe/,
